round,average weight differences,train losses,test losses,test accuracies
1,0,2.2974707379937174,2.2965226036727806,0.1273
2,0,2.2884212267398834,2.2849402625089996,0.1504
3,0,2.2720704850554467,2.265983242897471,0.1832
4,0,2.243726673424244,2.224489228740619,0.2184
5,0,2.1632822453975677,2.117992350250293,0.2479
6,0,2.0615130665898325,2.04430166399403,0.2753
7,0,1.9865387085080148,1.99704127099104,0.2922
8,0,1.9551864095032214,1.9443340096504065,0.3097
9,0,1.8940037734806539,1.8924585269514922,0.3315
10,0,1.854161394387484,1.85029088008176,0.343
11,0,1.7806462083756922,1.807361055331625,0.3603
12,0,1.7507025189697738,1.7733771656728854,0.3709
13,0,1.7133462879061696,1.7361009090569368,0.3811
14,0,1.6744547736644744,1.7007269532817184,0.3937
15,0,1.6255989089608192,1.6739697076712445,0.4023
16,0,1.5931082335114477,1.6544169977212408,0.4047
17,0,1.5560807858407497,1.6307231802849254,0.4139
18,0,1.5094861420989036,1.633036372008597,0.4161
19,0,1.494671034812927,1.596161713266069,0.4339
20,0,1.4788862016797069,1.5978639497878446,0.4265
21,0,1.4668680933117866,1.571122253017061,0.4383
22,0,1.421689252704382,1.562604566288602,0.4389
23,0,1.404190165698528,1.5511489818050603,0.449
24,0,1.341493017747998,1.5409186554562515,0.4512
25,0,1.3385402756929399,1.530242291985044,0.4584
26,0,1.3203024700284005,1.5171565455236253,0.4599
27,0,1.2983798537403344,1.5006168321439415,0.4699
28,0,1.2795266175270081,1.49358055773814,0.4677
29,0,1.2175392291694878,1.492132638670077,0.4747
30,0,1.2005813022702934,1.4800854723924284,0.4765
31,0,1.1591125465929508,1.4893995113433547,0.4781
32,0,1.1453748565912245,1.4845524540372714,0.4787
33,0,1.149809409752488,1.474598582383174,0.4813
34,0,1.1202293634414673,1.4766075330175412,0.4828
35,0,1.050233821645379,1.4868354539203037,0.4848
36,0,1.0314810515195132,1.4823520206342078,0.4889
37,0,1.0119791626930235,1.4875360324883917,0.4864
38,0,0.9550393442437054,1.4942034293132223,0.4911
39,0,0.9247074813023209,1.5008399813038529,0.4912
40,0,0.9287095394730567,1.4945888731889665,0.4924
41,0,0.8837305450439453,1.519362669841499,0.4897
42,0,0.8851333768293262,1.5100697013223248,0.4948
43,0,0.8602602211013437,1.5192121540664867,0.4965
44,0,0.7931142915971578,1.5338680402488465,0.5003
45,0,0.8005771166086196,1.553687011360363,0.4931
46,0,0.7820647608302533,1.5587025000031587,0.498
47,0,0.7510186887718736,1.5619356374072422,0.5023
48,0,0.7138894662633539,1.5687969604115577,0.4989
49,0,0.7449571164883673,1.5592090377382413,0.4988
50,0,0.7072624299861492,1.570279738705629,0.506
51,0,0.6647674975357949,1.5862526270993955,0.5057
52,0,0.6536905066668987,1.6081828896407109,0.5013
53,0,0.6395952199120074,1.605043785587238,0.4996
54,0,0.6134227345604449,1.6270618294454684,0.5031
55,0,0.59482896393165,1.6233162614190655,0.503
56,0,0.5642636221367866,1.6507444290598488,0.5015
57,0,0.5772650426346808,1.6405969379813807,0.504
58,0,0.5509887582529337,1.6574138152371547,0.5019
59,0,0.5409468730911613,1.6742057154892356,0.5074
60,0,0.529684311482124,1.6837515504496872,0.5041
61,0,0.5147645935043692,1.6951377999251056,0.5042
62,0,0.48915240353439,1.7201147633753004,0.5046
63,0,0.5190572464466094,1.6934959463253143,0.5088
64,0,0.4793314337311313,1.7095276071767138,0.504
65,0,0.5072822631732562,1.7156279375598689,0.5087
66,0,0.43380212804768237,1.7454286008883433,0.5067
67,0,0.5276815361389889,1.6803451639831446,0.5072
68,0,0.4551864134613425,1.7244218557503572,0.5077
69,0,0.4718124468950554,1.709177260945557,0.5102
70,0,0.4300974937528371,1.732611318302762,0.5093
71,0,0.44103560500778255,1.74303445087117,0.5131
72,0,0.4291569356434047,1.734053630737742,0.5116
73,0,0.43185160342836754,1.7445960340985827,0.508
74,0,0.4474593988480048,1.7398270171159391,0.5111
75,0,0.3877515796106309,1.7806322392384717,0.5126
76,0,0.4179417981859297,1.7657825210291869,0.5131
77,0,0.3977637243177742,1.7690200031183327,0.5144
78,0,0.4183969308901577,1.7521710008572622,0.5151
79,0,0.3946544754737987,1.7722644319959506,0.5137
80,0,0.391464834548533,1.7970665222520281,0.5145
81,0,0.39293444381095466,1.7775822984185188,0.5168
82,0,0.37617929232539604,1.781390305537327,0.5193
83,0,0.40851846121251584,1.7689092030191118,0.5187
84,0,0.3603664842713624,1.7800090502781474,0.5154
85,0,0.39105509702814745,1.767251921307509,0.5177
86,0,0.4004765978176147,1.7699073051950733,0.5175
87,0,0.3387886234605685,1.821035596215801,0.5187
88,0,0.37136729502584787,1.79657528127075,0.5173
89,0,0.33555326880887154,1.8179051397712367,0.5183
90,0,0.353382262152154,1.8007413422226146,0.5171
91,0,0.3768855745205656,1.793498692239166,0.5181
92,0,0.3627416274719872,1.7903623558153772,0.5144
93,0,0.35130029286723585,1.7962150543358675,0.5167
94,0,0.33034142586402593,1.8251759922428497,0.5218
95,0,0.349158738234546,1.854951229824382,0.5154
96,0,0.31536311900243164,1.8481708119629294,0.5163
97,0,0.33543927335646,1.827530420509873,0.5177
98,0,0.3521944725117646,1.81713223077689,0.5184
99,0,0.3151782169891521,1.8203869124127041,0.5188
100,0,0.33292254350148137,1.8267784194581826,0.5243
