round,average weight differences,train losses,test losses,test accuracies
1,0,0.9748841567027071,2.437401595389008,0.1036
2,0,0.3818656003248567,2.0749650533032264,0.2291
3,0,0.20879224266714624,1.9938766303335784,0.3806
4,0,0.1863640547846444,1.5844422070084103,0.4646
5,0,0.15487235243107553,1.5169310987375344,0.4673
6,0,0.11806049918434454,1.3309885339372476,0.4988
7,0,0.11087215659595354,1.2848564075056914,0.4945
8,0,0.08951397848649262,1.2373808793201568,0.5175
9,0,0.0800703812415692,1.1170345195539437,0.638
10,0,0.0724647130091002,0.9774899683940182,0.6837
11,0,0.06919133825845589,0.9694857939033751,0.6677
12,0,0.04599292466604189,1.1952795219269527,0.5486
13,0,0.06420941404068273,0.9548422851759917,0.6882
14,0,0.05002712653980497,0.8886431518254007,0.7047
15,0,0.06736091860625718,0.9836494079820669,0.602
16,0,0.06572557810208593,1.0331852603110538,0.6211
17,0,0.04351107241795399,0.8280423101346204,0.724
18,0,0.046330748984832706,0.740833253807323,0.7622
19,0,0.04327343178160663,0.7884614492297932,0.731
20,0,0.0557881126244449,0.7201214563694729,0.7617
21,0,0.0370878963978062,0.8078218172689912,0.7
22,0,0.043937165239808056,0.6672899347202034,0.7715
23,0,0.03470107461884133,0.8136015428099662,0.703
24,0,0.03834571395639473,0.7707335087144451,0.7258
25,0,0.03405943089251296,0.7409308294581759,0.7217
26,0,0.04197766854682495,0.6236783375216138,0.7856
27,0,0.03363816530213484,0.5951681269961557,0.8046
28,0,0.04541784946742377,0.7163986700355627,0.7388
29,0,0.03108375440158125,0.8781290445358131,0.6865
30,0,0.03251506783519289,0.7649671086080515,0.731
31,0,0.027941919188101665,0.590358172442503,0.7874
32,0,0.0372525672599877,0.6663786119716183,0.7477
33,0,0.036638426906972096,0.7911067705625182,0.722
34,0,0.02191182183249151,0.6438475224622495,0.7672
35,0,0.03204302822843642,0.4736797115795172,0.8482
36,0,0.01802726445688515,0.5782963570895469,0.7893
37,0,0.028432319556957936,0.6570925753397546,0.7538
38,0,0.022988709234800706,0.4967192605992032,0.8307
39,0,0.020913223530627873,0.5238448105230453,0.8164
40,0,0.02582231175787254,0.5828996783798668,0.796
41,0,0.020038742489404994,0.4893866278183688,0.8331
42,0,0.0201318992160272,0.5168926253630097,0.8078
43,0,0.022299342257682132,0.47565810652864965,0.8312
44,0,0.02086711683782819,0.6111464578254967,0.7648
45,0,0.03643394087406907,0.5330239160425344,0.7989
46,0,0.02864059448636867,0.5018408290899483,0.8307
47,0,0.01990209309071219,0.4155100597317811,0.8568
48,0,0.020282468196862784,0.4207665573354739,0.8598
49,0,0.023347861849168115,0.41997565110777596,0.8583
50,0,0.02066498220012121,0.8184457650989484,0.698
