round,average weight differences,train losses,test losses,test accuracies
1,0.01316683994545865,2.2949833154678343,2.303966522216797,0.089
2,0.010166100547213158,2.2814951181411742,2.3038980960845947,0.0928
3,0.010826201403753188,2.3147419452667237,2.303600549697876,0.0915
4,0.012051848206084098,2.3093910217285156,2.3035037517547607,0.091
5,0.010201956345357194,2.3090880155563354,2.3033220767974854,0.0911
6,0.010806975320543147,2.3330740928649902,2.303225040435791,0.0904
7,0.01250666131914995,2.309047269821167,2.3031399250030518,0.091
8,0.011098912252408565,2.3295758247375487,2.3029699325561523,0.0906
9,0.013446189221164709,2.298379397392273,2.302929401397705,0.0903
10,0.017385935747222706,2.314497947692871,2.302589178085327,0.0905
11,0.009610885741999201,2.3332097053527834,2.3021926879882812,0.0903
12,0.014768838407983051,2.2934765100479124,2.3019824028015137,0.091
13,0.009989311278180046,2.312269902229309,2.301771402359009,0.0893
14,0.010746726703114707,2.2843040466308593,2.3017473220825195,0.09
15,0.013938582852994564,2.310280108451843,2.3015787601470947,0.0922
16,0.012497961063210088,2.3350704193115233,2.301309108734131,0.0906
17,0.010638215196789048,2.3146083116531373,2.3011980056762695,0.096
18,0.011273701781027554,2.3020668506622313,2.301112651824951,0.0995
19,0.011453918289192849,2.313357138633728,2.300950288772583,0.1005
20,0.012861476387872179,2.3051429986953735,2.300748586654663,0.1035
21,0.011961304801981808,2.3295315742492675,2.3005497455596924,0.1046
22,0.012803806028161713,2.308209443092346,2.300384521484375,0.1183
23,0.011423885502242367,2.3006264925003053,2.300201654434204,0.1039
24,0.012745302415624942,2.32111074924469,2.300018787384033,0.0987
25,0.010651256556534617,2.3197725772857667,2.299914836883545,0.0963
26,0.008789747056913166,2.2825970888137816,2.2999775409698486,0.0933
27,0.011617500363189646,2.294032168388367,2.2997803688049316,0.0948
28,0.010562298863851497,2.2790176391601564,2.2998228073120117,0.0955
29,0.010424471452005027,2.287190580368042,2.299539566040039,0.0983
30,0.011400637097225838,2.300646924972534,2.29939603805542,0.1036
31,0.013050845972396535,2.3064609289169313,2.2991299629211426,0.1017
32,0.0110149828168779,2.2952938079833984,2.2987890243530273,0.0992
33,0.011045032081673482,2.2894196271896363,2.298588514328003,0.118
34,0.011743441901790233,2.2981226205825807,2.298521041870117,0.1313
35,0.012980561435827608,2.290250849723816,2.2984180450439453,0.1411
36,0.011085620358399583,2.2810659170150758,2.2983264923095703,0.1417
37,0.012960395915477905,2.3011438846588135,2.2982177734375,0.1501
38,0.010859713486589147,2.3107767581939695,2.2980797290802,0.1462
39,0.011551833865313629,2.3199979782104494,2.297851800918579,0.1512
40,0.013134009220049217,2.305642080307007,2.2977147102355957,0.1678
41,0.010983229087718,2.309135007858276,2.2975780963897705,0.167
42,0.0131943215672215,2.2988316297531126,2.2975058555603027,0.1613
43,0.012964784292645182,2.285160684585571,2.2972564697265625,0.1891
44,0.011341767521259516,2.2769814252853395,2.2971534729003906,0.19
45,0.012623273194165488,2.2738253116607665,2.2970051765441895,0.1981
46,0.011989156792763333,2.3138084173202516,2.296954393386841,0.1904
47,0.012799369734198079,2.295432925224304,2.2968733310699463,0.1946
48,0.010677690856314254,2.2834321022033692,2.296739339828491,0.1946
49,0.01062196321610579,2.2793705224990846,2.296647787094116,0.1911
50,0.009731942557318142,2.2976531744003297,2.2966678142547607,0.1562
