round,average weight differences,train losses,test losses,test accuracies,average AUCs,Kappas
1,0,2.2951342377662654,2.2860807279112993,0.1514,0.521648393077663,0.046570203150430485
2,0,2.2650118837356574,2.2377915974635227,0.2342,0.5674082546203134,0.14002327844013654
3,0,2.111080938339234,1.8380196132477682,0.5245,0.730041068474994,0.4689240547660704
4,0,1.2021135719120504,0.669625755138458,0.8135,0.8953733565830883,0.7927033951493662
5,0,0.5574888731241227,0.44857490613202383,0.8636,0.9231608972931701,0.8483733568199002
6,0,0.42302243515849114,0.35546886228072416,0.8914,0.9386449096535022,0.8792618201093841
7,0,0.33385041206330063,0.3100915236552809,0.904,0.9460551052897689,0.8932844564286494
8,0,0.29601016258448365,0.27524649748092245,0.9158,0.9526479326489934,0.9064006295391387
9,0,0.25531327933818104,0.24147102600971984,0.9257,0.9582645950176001,0.9174069325085913
10,0,0.223840355694294,0.22399952756181643,0.9301,0.9609648807162323,0.9223074168140846
11,0,0.21458730555698274,0.20648325410238497,0.9311,0.9614506793936657,0.923415449533638
12,0,0.17148536119982602,0.18982790319462586,0.9394,0.9660062884977367,0.9326381516477942
13,0,0.1652289389874786,0.1731827067401094,0.9451,0.9692612537586125,0.938976591420469
14,0,0.1376133396588266,0.1666216033445612,0.9465,0.969984906926023,0.9405311475562176
15,0,0.12176564461179078,0.15749831521842084,0.9486,0.9712169797481991,0.9428668532690074
16,0,0.12058669179398566,0.14997433805482308,0.9512,0.9725857250815698,0.9457536562369179
17,0,0.11359458067268133,0.14027976582218318,0.9541,0.9743968997717862,0.9489821136959271
18,0,0.10021603617211805,0.13600494749221215,0.9569,0.9759077672220666,0.9520926561376477
19,0,0.10319306167308243,0.13106475356865413,0.9594,0.9772976966643322,0.9548712846784722
20,0,0.0954371243948117,0.12668536662177485,0.9594,0.9772164301509955,0.9548700175359994
21,0,0.09359078197041526,0.1190307809293543,0.9622,0.9787849388272626,0.9579826258157749
22,0,0.08855036818026565,0.11746279471390732,0.9631,0.9793316111751464,0.9589830796088514
23,0,0.08499042876064777,0.12006821195672082,0.9616,0.9785422241743476,0.957316430165417
24,0,0.08343801074638033,0.11180647342854363,0.9636,0.9796664250930125,0.9595402347911298
25,0,0.07571586595661939,0.10677736162899097,0.966,0.9809554496798439,0.9622069521512002
26,0,0.06387520607723854,0.10553663217642043,0.9655,0.9807245389899512,0.9616516345334968
27,0,0.07126618149201386,0.10467946038404954,0.9657,0.9807729712724559,0.9618737180176627
28,0,0.06244937253114767,0.10047675048373343,0.9675,0.9818137059145109,0.963874704090754
29,0,0.05619824593735393,0.09992848874839426,0.9683,0.9822596192246762,0.9647638332605472
30,0,0.06574099474248943,0.09975210652215062,0.9682,0.9821650399744513,0.9646519607040516
31,0,0.05343967039801647,0.09712332003463689,0.9683,0.9822710166632669,0.9647637854769907
32,0,0.06115231314767152,0.09856993836502005,0.9686,0.9825019013055597,0.9650982785237181
33,0,0.04679474968416616,0.09129987727697927,0.9705,0.9834614752291172,0.9672087034637036
34,0,0.04600463089614641,0.09387544592027552,0.9705,0.9834579829274508,0.9672084410230362
35,0,0.053821410364704204,0.09015726127419295,0.971,0.9836977375133159,0.9677637331526739
36,0,0.04226264684833586,0.09038932981625034,0.9717,0.9841362547269521,0.968542581117901
37,0,0.05091833335650153,0.09052228259836964,0.9715,0.9841101834240664,0.9683215285269304
38,0,0.04041523721028352,0.089663396665647,0.9716,0.9840594846270168,0.9684314371442625
39,0,0.040166589188273066,0.08685703691544462,0.9719,0.9842879902187317,0.9687655394220241
40,0,0.05258281612652353,0.08427552293295006,0.9737,0.9852445485953734,0.9707656075001801
41,0,0.039555351228744255,0.08670430717719897,0.9727,0.9847416753395404,0.9696545294899783
42,0,0.03546272844658233,0.0844868758497211,0.9735,0.9851675147026784,0.9705436188480334
43,0,0.043425135418830904,0.08405465711516945,0.9732,0.9849859960792264,0.9702100066699573
44,0,0.04729687736870255,0.0792981027113867,0.975,0.986026931351601,0.9722114384077536
45,0,0.037014274879533335,0.07845124290999511,0.9757,0.9863925146773772,0.9729890999013258
46,0,0.03574269833759172,0.07877586269862416,0.9751,0.9860704353407787,0.9723223942209426
47,0,0.03184544462861959,0.07796998074803588,0.9756,0.9863413945094932,0.9728780217149007
48,0,0.039798990069248245,0.07733669247973939,0.9753,0.9861575847682882,0.9725445739952742
49,0,0.04015572962420992,0.07421113534841263,0.976,0.9865852307923813,0.9733228056231924
50,0,0.03449601830251049,0.07401321755809662,0.9756,0.9863484935557969,0.9728780934660248
