round,average weight differences,train losses,test losses,test accuracies,average AUCs,Kappas
1,0,0.9368758926838637,2.8287069068592823,0.1129,0.5068282961496328,0.013406977295737508
2,0,0.5657507604882122,4.0480453360612225,0.1691,0.5390398008722632,0.07731872530510307
3,0,0.45476562711596485,3.677903419846942,0.1749,0.542293158572532,0.08376580361018038
4,0,0.35519200035743415,3.3634296298786333,0.1909,0.5514015414826573,0.10201504228575761
5,0,0.324395353011787,2.561996172947489,0.2271,0.569641210051708,0.14117931935799816
6,0,0.18846839992795145,2.7673154985828763,0.2903,0.6054769820195501,0.21164253239747072
7,0,0.23988115839101373,2.151629885290838,0.3717,0.6500526478281425,0.3021916059236658
8,0,0.19750430419063197,2.1968670870847764,0.3573,0.6439009402214821,0.28633598353600326
9,0,0.1586496217204258,2.04022209583574,0.4492,0.6926669794690674,0.3881272763251102
10,0,0.16704778448701835,1.7133120032632427,0.4832,0.7094319908789773,0.425457872721309
11,0,0.17841053547756744,1.8605824222989902,0.4373,0.6845230503603247,0.3748071757336922
12,0,0.13894576787087137,1.7094813391661188,0.4677,0.7035867979591421,0.4087286666625938
13,0,0.1549436080337036,1.68074643460049,0.3699,0.6530862013743847,0.3023857896705002
14,0,0.10619535942195216,1.7893929291682638,0.4433,0.6902847291052099,0.38151838735724486
15,0,0.10452412067283876,1.3574695708645377,0.5657,0.7547448878959682,0.5171786942330692
16,0,0.11133546446869147,1.4613844376460763,0.5207,0.7293287771070468,0.46709489422206124
17,0,0.09417032512219158,1.4856950086393175,0.5497,0.7451167829668155,0.49935675737407575
18,0,0.085186115350225,1.2850327427220192,0.6002,0.7735440982696249,0.5553336845878387
19,0,0.0725673345840769,1.2863150026388228,0.5765,0.7603297896109246,0.5291232175354114
20,0,0.1067230519198347,1.2302030036403875,0.5983,0.7721856950329828,0.5533415986078758
21,0,0.057427211168804206,1.251823859609616,0.6168,0.7830217678427236,0.5739083583846568
22,0,0.09479441262152978,1.1463266897733044,0.6235,0.7878910481335827,0.5815285106292926
23,0,0.09050805617752486,1.0045034315935366,0.6499,0.8024625411917897,0.6108182218399054
24,0,0.07063533678697421,0.960700436192713,0.6782,0.8183759258635558,0.6422860685886117
25,0,0.07279857075639301,0.9866182359920186,0.671,0.8144085822597085,0.6343313431288742
26,0,0.06883348060573917,0.9613583657392271,0.7,0.8298702955162236,0.6664342269171234
27,0,0.0479187589517096,1.0104575578574162,0.708,0.833312948947168,0.6752525048013417
28,0,0.057494584782514714,0.902515544063726,0.714,0.8379832706365201,0.6820087016651003
29,0,0.05411229042120976,0.9199090704416774,0.6906,0.8254105943630827,0.6560799463173477
30,0,0.06217640420061069,0.9673537441120026,0.6927,0.8260052597722133,0.6583463914202318
31,0,0.050870605466188865,1.091815778024637,0.678,0.817298671222515,0.6419110668118774
32,0,0.070013607006229,0.8057470883533453,0.7364,0.8506738726852534,0.7069106607989352
33,0,0.04351814063428901,0.784694846933055,0.7431,0.8541516430449299,0.7143442687069284
34,0,0.0525153159344627,0.8417132494935564,0.734,0.8496196250208848,0.7042571537859686
35,0,0.053535922459501305,0.8174833077344166,0.7384,0.8518885835965705,0.7091719884153508
36,0,0.04358259262715,0.7555937997664616,0.7618,0.864524008063227,0.7351581080522454
37,0,0.045167058248596736,0.7563454800160827,0.7513,0.8596370451053257,0.7235210605692095
38,0,0.05949918506556422,0.6306967424928762,0.784,0.8778297601623212,0.7598511771061325
39,0,0.0380948716236453,0.753133317657337,0.7501,0.8584433115501577,0.7221575671231573
40,0,0.06047163444326725,0.6671807002869381,0.776,0.8730857191410852,0.7509804034917884
41,0,0.05047203160397475,0.6285111161933583,0.7926,0.8820791519537895,0.7694263548944853
42,0,0.04874230748455738,0.6512612790628604,0.7805,0.8778349841858317,0.7561259115585673
43,0,0.02934789706228184,0.7001064313445121,0.765,0.8699341061200847,0.7389465439949446
44,0,0.051936048122355714,0.5730195689922685,0.8093,0.8913929623901591,0.7879410539736611
45,0,0.03589440986528643,0.6094229590551109,0.7937,0.8835571867059633,0.7706524699322664
46,0,0.040644399827753655,0.6747206032845625,0.7737,0.8712363886654844,0.7483313915296732
47,0,0.04279945348168257,0.6586089112386582,0.7928,0.881453123022965,0.7695916897860796
48,0,0.03765546351548983,0.5471680879497983,0.816,0.8961820280824782,0.795466053773286
49,0,0.037396191344596444,0.5992542379031516,0.8035,0.888009184060836,0.7815193621655133
50,0,0.03159358361249907,0.6488466436506077,0.7985,0.8846773847717309,0.7759144486515688
