round,average weight differences,train losses,test losses,test accuracies
1,0,2.2288152990738554,2.295765295150174,0.1091
2,0,1.9854058640201886,2.2872000909914636,0.0984
3,0,1.6404783892631525,2.2049609491020252,0.2123
4,0,1.438126034984986,2.1688267121649094,0.3968
5,0,1.1947816598415373,1.5957358384587963,0.6267
6,0,0.9071075610630216,1.3002272464667157,0.5593
7,0,0.6869147885466613,1.007300346140649,0.684
8,0,0.5311977419195076,0.816474300471081,0.7743
9,0,0.4777781175449489,0.7815572585269903,0.7553
10,0,0.3850912387513866,0.6596475839614868,0.803
11,0,0.2917696917266584,0.631961996767931,0.7788
12,0,0.286281993049973,0.5701688264205957,0.8164
13,0,0.24233159797615372,0.5246706913421109,0.8357
14,0,0.28593278581063103,0.6003318540989213,0.7883
15,0,0.2508482201275183,0.4880824782855951,0.8442
16,0,0.2288237603819774,0.5500636825895613,0.8066
17,0,0.18016858107682007,0.5795451271685825,0.7774
18,0,0.20570831325351419,0.43612646529818794,0.8604
19,0,0.1852373014449646,0.4689463298696621,0.8379
20,0,0.1692365210895271,0.5283317072376325,0.7987
21,0,0.1898790527589154,0.46147052758628393,0.8353
22,0,0.16610242980745776,0.39460367932441126,0.871
23,0,0.16065486119827252,0.3827435928070621,0.8763
24,0,0.16100450482646314,0.40331549933002253,0.8575
25,0,0.14897661551280178,0.3817735708727958,0.87
26,0,0.12105526568222562,0.46597713962861687,0.8218
27,0,0.127617804167215,0.3461467090543288,0.8854
28,0,0.14575643158697252,0.35169834097859204,0.8807
29,0,0.15598609260690866,0.3348647390201593,0.8925
30,0,0.12494272495018474,0.35749923717823756,0.8742
31,0,0.12315321718279544,0.32514595987785394,0.8932
32,0,0.1129185902357373,0.36976025628436143,0.8696
33,0,0.11950412396256675,0.32447358256407605,0.8935
34,0,0.1260486890580675,0.3029082866658451,0.9015
35,0,0.09968772615939088,0.30849631455768445,0.9012
36,0,0.12741737355492658,0.4189204956363341,0.8528
37,0,0.09841811594679409,0.2902429405196457,0.9035
38,0,0.10193360411713608,0.28673747011051054,0.9065
39,0,0.09488985470399106,0.3452366074416668,0.8762
40,0,0.09774719387947696,0.4649912300667945,0.8188
41,0,0.10020147608474265,0.2789694734843104,0.9109
42,0,0.07936625961958875,0.27156105899744354,0.911
43,0,0.09853848138295386,0.28721798277774435,0.906
44,0,0.09379633718298769,0.26748467641319057,0.9139
45,0,0.08161419901291082,0.2656155812797273,0.9079
46,0,0.09087416984430094,0.2881648786793089,0.9007
47,0,0.07314992670256289,0.26464985707288335,0.9145
48,0,0.09736010440751368,0.25578055176053455,0.9177
49,0,0.08045506001012351,0.2511001262505343,0.918
50,0,0.07589818957033154,0.3109158038571002,0.891
