round,average weight differences,train losses,test losses,test accuracies
1,0,0.9778301507681609,1.463945666695856,0.46
2,0,0.18117809942038726,0.8351455399185229,0.73
3,0,0.12247329595616248,5.950046999439312,0.4701
4,0,0.2677092651505009,1.502229075522939,0.6882
5,0,0.1684183155848914,1.3597900601708965,0.6409
6,0,0.07164094304703031,1.3824357527076818,0.6209
7,0,0.05618878895523084,0.8697378343077982,0.7348
8,0,0.0450187970062325,1.415753664674273,0.6833
9,0,0.07111884928291694,1.7416095832350906,0.5967
10,0,0.0642137038705314,0.3818413256459935,0.8426
11,0,0.036542176182269376,0.7428237423775302,0.7798
12,0,0.04114856564094156,0.46117240579644586,0.851
13,0,0.027912456019177623,0.27271840026139454,0.9033
14,0,0.023130266653791292,0.13044397908583236,0.9588
15,0,0.01621990798018669,0.18907971511992394,0.9347
16,0,0.0185450441985447,0.15012647369046025,0.9509
17,0,0.019293931621403318,0.4216271149599628,0.8552
18,0,0.02112244414561246,0.14142662062974065,0.9523
19,0,0.016186721214029604,0.10298343228619652,0.967
20,0,0.0144587115462964,0.114501487911578,0.9619
21,0,0.01521994693035231,0.09140693259263814,0.9708
22,0,0.01677195408443822,0.10098251860713361,0.967
23,0,0.02149478890157821,0.3735621065660647,0.8803
24,0,0.016971012494956084,0.11346302310651417,0.9634
25,0,0.008952143225053987,0.0792325128263395,0.9729
26,0,0.012522803536326139,0.08073220062117792,0.9735
27,0,0.014365075181062137,0.1233163565830298,0.9598
28,0,0.014427611844890862,0.0753296499452361,0.9742
29,0,0.008523932789505124,0.12270720378839808,0.9618
30,0,0.015920670343770326,0.08064054432601274,0.9731
31,0,0.008988481881408914,0.1076435413230863,0.9642
32,0,0.012000517858614331,0.14686577771934917,0.9538
33,0,0.012155685007089231,0.1101407578250595,0.9626
34,0,0.010871584061757627,0.17195693377641202,0.9453
35,0,0.010823173658238374,0.14627802485872984,0.9517
36,0,0.007404564942329671,0.07187055468950498,0.9753
37,0,0.008943919139784156,0.11406032142643134,0.9641
38,0,0.006998472177101575,0.07063186241559993,0.9754
39,0,0.004953133972039723,0.06447072425228025,0.9789
40,0,0.00772164908355262,0.09313886856393679,0.9702
41,0,0.00837018936338643,0.08714113297896715,0.9715
42,0,0.009347159877043622,0.06539045289692422,0.9778
43,0,0.009858093359363464,0.06509523671675603,0.9787
44,0,0.007292519251027897,0.0617217585459234,0.9796
45,0,0.0047822369519658426,0.11858555181789847,0.9613
46,0,0.0083096882918029,0.07912881748406843,0.9733
47,0,0.008198330648915089,0.11387343113985399,0.9642
48,0,0.007607348621733875,0.10721141302284849,0.9674
49,0,0.006241689794990633,0.06071198209096469,0.9799
50,0,0.0066706078939421905,0.07119224936644633,0.9767
