round,average weight differences,train losses,test losses,test accuracies
1,0,0.02330982218931892,2.5535466883592544,0.2004
2,0,0.026767243307798793,7.747798454989294,0.0982
3,0,0.08195322617304436,3.2797776741586673,0.101
4,0,0.05079577689308638,2.977361334357292,0.1028
5,0,0.034300420790487215,4.452802556335547,0.1028
6,0,0.05201266698706023,3.4030929674768142,0.0892
7,0,0.042518514285342715,3.1927791036617985,0.1022
8,0,0.04057587491868225,3.8687162156317645,0.0974
9,0,0.04602559768670304,3.6482850411894976,0.0971
10,0,0.041656433583314174,3.5239633602701175,0.1028
11,0,0.02361962884268446,5.92179771289704,0.0975
12,0,0.06424113169981663,4.563343632752728,0.1135
13,0,0.045914069998914675,4.929442387477607,0.0974
14,0,0.05543497493483167,4.573879762819618,0.1028
15,0,0.08847181928586341,3.9478649181924808,0.1028
16,0,0.05616521314324421,5.368578939680841,0.1028
17,0,0.07489817984431374,3.958650315643116,0.1028
18,0,0.06054002749879593,4.859544634059736,0.1028
19,0,0.038087035106670705,4.483341217041016,0.1028
20,0,0.07196248712919484,3.8435423556406785,0.1028
21,0,0.04456373569901399,4.248498568868941,0.1028
22,0,0.0391855955288268,5.016383389758456,0.1028
23,0,0.06641517968978068,7.008273012319188,0.1028
24,0,0.07450683791281411,4.635972710931377,0.1028
25,0,0.06519186512772175,13.743586382288841,0.101
26,0,0.17842018132924126,4.980735523685528,0.1028
27,0,0.07112035866763142,4.697360682639347,0.1028
28,0,0.07546472609170077,8.424100866742954,0.1028
29,0,0.11110301389942454,3.362456241231056,0.1028
30,0,0.03430721395142823,4.665253329428897,0.1028
31,0,0.08141013452463869,4.707916642450224,0.1028
32,0,0.040978548064253176,4.243272957528473,0.1028
33,0,0.044892481989603585,4.102860260920919,0.1028
34,0,0.03520033940979879,10.97517448473888,0.1028
35,0,0.09461680828133986,4.246375206929104,0.1028
36,0,0.05919398229368141,8.460050260944731,0.0982
37,0,0.09970561977244424,4.014213987216828,0.1267
38,0,0.04287819492264597,16.014555663819525,0.1004
39,0,0.19905453996195993,4.014929072872089,0.1028
40,0,0.04106478456045194,3.37862861839829,0.1028
41,0,0.03512378057978817,5.0895235644783945,0.0974
42,0,0.042410854824419905,3.5453786895533277,0.1028
43,0,0.05306855289030159,2.998015669500752,0.1028
44,0,0.03959122117750992,3.0101184055304073,0.1135
45,0,0.027862574238986148,4.75750409265992,0.0982
46,0,0.049152179019054845,3.933802792980413,0.0982
47,0,0.056428386876723045,42.22989725003577,0.0982
48,0,0.5199382123272149,2.5803236688018605,0.1028
49,0,0.02975403923668523,3.5318780932456826,0.0982
50,0,0.02291885899817118,3.6640909872237284,0.0982
