round,average weight differences,train losses,test losses,test accuracies
1,0,0.20483872973298034,1.4615436329203806,0.5082
2,0,0.2082659927064346,2.581672342719546,0.2074
3,0,0.1066668638159883,1.2307421515701682,0.5656
4,0,0.07937910487753752,1.1733357109081972,0.5531
5,0,0.08019018368883472,1.2540070767615252,0.5336
6,0,0.025070084999127884,1.7733778346116376,0.4487
7,0,0.0742546584822121,1.2931558975748196,0.5278
8,0,0.06604780906822998,0.8289188478782679,0.7046
9,0,0.0659964961134182,0.8427255977490905,0.7207
10,0,0.06454237847888403,0.7618411217525507,0.7434
11,0,0.07202457152892021,0.7828161674699966,0.7258
12,0,0.0542564722415118,0.7209249298284008,0.7712
13,0,0.03384614381249412,0.883567471413096,0.7034
14,0,0.03649589271434363,0.6532182023403751,0.7784
15,0,0.056859169407343466,0.8775518882046839,0.6619
16,0,0.048275671648039455,0.649118501289635,0.7709
17,0,0.03649919389911358,0.840508106977317,0.6859
18,0,0.030134348395109155,0.8038431409817592,0.6938
19,0,0.034326119551435115,0.6493756913455428,0.7729
20,0,0.049563425046461315,0.6687061851191672,0.7613
21,0,0.026465763332430576,0.9479364441458586,0.6673
22,0,0.03518746399185976,0.5190249834280865,0.8296
23,0,0.03447945709011886,0.5521524956651555,0.8109
24,0,0.031120684899954842,0.7453948435889688,0.7488
25,0,0.024349354462626958,0.6736161010280536,0.7573
26,0,0.0293726656107481,0.7636936268988689,0.7326
27,0,0.038424472816563346,0.6708905282104092,0.7487
28,0,0.02944863780767385,0.5798821038311455,0.7841
29,0,0.05539633152664626,0.6942121756684249,0.7632
30,0,0.03318535841838942,0.7525724457327727,0.7202
31,0,0.03752590673367215,0.8833215868776771,0.6935
32,0,0.0352419511237919,0.704940569438752,0.7245
33,0,0.03431819721024173,0.6179830422446986,0.7732
34,0,0.033086828064108786,0.7789655270849823,0.7246
35,0,0.024283793770758268,0.45054647264776715,0.8485
36,0,0.025709385019916226,0.5646433448715574,0.8082
37,0,0.028143524511901587,0.44338321804430836,0.8386
38,0,0.018459563517100624,0.5797848463248295,0.79
39,0,0.024367305244564097,0.3890212990675762,0.8754
40,0,0.03882690571666737,0.5431458732694577,0.808
41,0,0.017260471350698532,0.42638575641592596,0.8549
42,0,0.022193274517136964,0.41589883700677543,0.8597
43,0,0.02469780785868675,0.50255643571638,0.8127
44,0,0.0165738036392027,0.42227285208216137,0.8535
45,0,0.02359579889412271,0.680160788024307,0.7391
46,0,0.02716132125843069,0.4536730929924424,0.8317
47,0,0.028099587519179396,0.3986978487224336,0.8597
48,0,0.020954015648767785,0.3773533067885478,0.8707
49,0,0.0187637300553308,0.3705207240666933,0.8739
50,0,0.02178639984557958,0.7727318736398296,0.7216
