round,average weight differences,train losses,test losses,test accuracies
1,0,0.9676677164556253,2.2787383847935185,0.1326
2,0,0.3999288319747895,2.036686893481358,0.3075
3,0,0.2523598320918883,1.7578812928716088,0.4721
4,0,0.18036192776595963,1.6153764064144935,0.3963
5,0,0.13836675216489885,1.354883534133814,0.6338
6,0,0.11390402148214376,1.2326589450714693,0.6503
7,0,0.09683773528251845,1.1711292468058836,0.634
8,0,0.08485574491748897,1.1343824571105325,0.6287
9,0,0.087392899839756,1.141187657216552,0.5708
10,0,0.06818606122093042,0.9957786973114986,0.6942
11,0,0.06200607310011076,0.94960189397168,0.6741
12,0,0.05843420746780338,0.9472983376995013,0.6798
13,0,0.0656442054768895,0.8595972419924037,0.7194
14,0,0.05538823427210123,0.9016873430294595,0.6919
15,0,0.04734198670819104,0.8402149250173265,0.7067
16,0,0.05552597375255493,0.8079956602898373,0.7321
17,0,0.04906339247906904,0.8351901762045113,0.6958
18,0,0.043554326804934915,0.7704086108192517,0.7293
19,0,0.044788394951035204,0.7511563052417366,0.755
20,0,0.04619557433133141,0.6778312836103378,0.7853
21,0,0.04028514890966374,0.6824638780894553,0.7815
22,0,0.041825469673926835,0.6680029866042411,0.7699
23,0,0.03975569550661893,0.6715030901750941,0.767
24,0,0.03475014561906072,0.6460909940254916,0.7782
25,0,0.035006890813359906,0.6312775882376227,0.798
26,0,0.040496237499673675,0.600659158199456,0.7978
27,0,0.032664082494395875,0.593124244338388,0.8113
28,0,0.03280687760503496,0.5798223975357736,0.7995
29,0,0.02771592928734318,0.5688180981358145,0.8136
30,0,0.030733331154633205,0.5312368731210186,0.8283
31,0,0.03375114999857824,0.5885612496714683,0.7899
32,0,0.03262300139543577,0.7115998824310911,0.7515
33,0,0.028594140412129092,0.49803085748557074,0.8433
34,0,0.027520654534428233,0.494369609720388,0.8405
35,0,0.02684844746209548,0.48486190199092694,0.8409
36,0,0.02718888356653301,0.4952589476564128,0.8296
37,0,0.029176906958104196,0.5115510730227087,0.8218
38,0,0.03516278777595968,0.5058861557085803,0.8198
39,0,0.02472986707127549,0.4866289987116103,0.8333
40,0,0.02190330832864921,0.4784589782831775,0.8382
41,0,0.02529551719802774,0.44051774126139415,0.8535
42,0,0.027177976261225475,0.4287023014703374,0.8647
43,0,0.02242425930401789,0.419947297519939,0.8665
44,0,0.020766187200467447,0.4228844537761561,0.8628
45,0,0.023621938815632893,0.42261175621467034,0.8614
46,0,0.023404963871347398,0.39069427976942367,0.8775
47,0,0.019791870284907462,0.3879364481682231,0.8756
48,0,0.017942033331769126,0.3984697957042676,0.8694
49,0,0.020012353304628215,0.38317826233661856,0.8765
50,0,0.023740242611839334,0.3965427940533419,0.8695
