round,train losses,test losses,test accuracies,average AUCs,Kappas
1,1.0855700954763112,0.2828755138358872,0.9043,0.9466327782433188,0.8936278632931086
2,0.1991865824081941,0.1474798441431515,0.9521,0.9728521498811364,0.9467486125845723
3,0.1304612039093937,0.10126901875178858,0.9696,0.9828962693019092,0.966207240014345
4,0.10115862402445408,0.1029202781905343,0.9655,0.9805974735387137,0.9616492818600147
5,0.08605932512693902,0.07743685888526902,0.9743,0.9856882917078137,0.9714337673388835
6,0.07357675064631156,0.07285474365870735,0.9771,0.9873538143179752,0.9745469809990768
7,0.06575591777459279,0.06197951498380595,0.9792,0.9882458672760226,0.9768787319727475
8,0.05878959175349195,0.057986542874662456,0.9807,0.9891379319187514,0.9785464635468067
9,0.0530374778135777,0.09211469216903992,0.9712,0.9844558853484221,0.9679927517808227
10,0.04891132779155316,0.05388230745325452,0.9821,0.9899938590053768,0.9801034232949454
11,0.04474631738640479,0.04820286817646624,0.9851,0.9916373995947826,0.983437700644198
12,0.0407908853593477,0.04763629491810589,0.9844,0.9913157767677102,0.982660161337195
13,0.0377736032518721,0.05206804078467714,0.9833,0.9906366901455025,0.9814371822576367
14,0.03465910459722656,0.04404348581386092,0.9854,0.9918162517407515,0.9837713869499587
15,0.03223917467868639,0.04849615272477115,0.9839,0.9909597635992735,0.982104421743959
16,0.03016266481454935,0.04354583930621253,0.9858,0.9920544092658412,0.9842161994746929
17,0.028016082251347406,0.053124896419402524,0.9826,0.9900847560482271,0.9806580079015373
18,0.026325212662239302,0.03653763479638992,0.9881,0.9933578383947742,0.9867727071685558
19,0.02434861493503689,0.045639949370107756,0.986,0.9921149324736346,0.9844382479276775
20,0.02250154948046705,0.04753731782165331,0.9851,0.9915921526424587,0.9834371124221778
21,0.02115026501826257,0.040423721088347034,0.9877,0.993063430044051,0.9863277258779735
22,0.019906311165983244,0.03773116257309467,0.9878,0.9932160565977016,0.9864395200314799
23,0.018100877094296874,0.037800079102696615,0.9888,0.9937130730361907,0.9875506582611675
24,0.017036637358797114,0.03914476763197767,0.9882,0.9934051826465524,0.9868837836202666
25,0.01599134934217749,0.04061502336591996,0.9875,0.9929935425084103,0.9861056731803568
26,0.01559922582891731,0.03583394779869508,0.9895,0.9941127282416277,0.9883287854500638
27,0.014500233035575329,0.04054312193347058,0.9879,0.9932342939824153,0.9865501872869747
28,0.013235599558816221,0.04008194750587594,0.9876,0.9930767745609558,0.9862169808463275
29,0.012379479578022025,0.03985814369894264,0.9872,0.9928095683872211,0.985772228472623
30,0.011697976700242061,0.03794886054978992,0.9888,0.9937217926645368,0.9875506495431928
31,0.010948714054098588,0.03851511451619004,0.9882,0.9933968700626794,0.9868839027316451
32,0.009931863626508454,0.0385513365767904,0.99,0.994387654039604,0.9888844324108298
33,0.009322688215753999,0.03803925189344702,0.9883,0.9934102129063571,0.9869949239743263
34,0.008809562037353712,0.03968420877491252,0.9897,0.9941969593175747,0.988550939167016
35,0.008284341356902161,0.038663691166090475,0.9892,0.9939273050301635,0.9879953117690896
36,0.007716871253256974,0.10625075239005029,0.9758,0.9866470461230902,0.9731061228945498
37,0.007381325662186537,0.03630881037759733,0.9896,0.9941671296615233,0.9884399382039112
38,0.006362709639994944,0.04034893090880406,0.989,0.9937799993308912,0.9877728476540947
39,0.006080037229749035,0.0391232530511588,0.9893,0.9940028944047968,0.988106467082958
40,0.005504694159420308,0.04028936085832078,0.9888,0.9937249366494376,0.9875507562337588
41,0.005259301428779667,0.04108033960751947,0.9887,0.9936802078934142,0.9874396181875129
42,0.004548649065936397,0.03803130299991153,0.9901,0.9944577348294985,0.988995678480669
43,0.004862337871104704,0.04171062689556891,0.9894,0.9940623246459541,0.9882175157743563
44,0.004703362689037146,0.040254879526506054,0.9896,0.9941627220307717,0.9884398727994742
45,0.004181845156670258,0.040908122269377796,0.9893,0.9940032974605385,0.9881063802256188
46,0.00407696170681998,0.0402194825903586,0.99,0.9943752790351285,0.9888844629290392
47,0.003327817945807795,0.042175042663650096,0.9893,0.9939967625760586,0.9881064641745136
48,0.0029297081020931166,0.042177923319148186,0.9897,0.9942145051070586,0.9885510309229764
49,0.002643355203693595,0.04180442869800441,0.9895,0.9941068065544452,0.9883287266817546
50,0.002851045479953111,0.04160815163775198,0.9905,0.9946635294498416,0.9894402379045484
