round,train losses,test losses,test accuracies
1,1.0855700954763112,0.2828755138358872,0.9043
2,0.1991865824081941,0.1474798441431515,0.9521
3,0.1304612039093937,0.10126901875178858,0.9696
4,0.10115862402445408,0.1029202781905343,0.9655
5,0.08605932512693902,0.07743685888526902,0.9743
6,0.07357675064631156,0.07285474365870735,0.9771
7,0.06575591777459279,0.06197951498380595,0.9792
8,0.05878959175349195,0.057986542874662456,0.9807
9,0.0530374778135777,0.09211469216903992,0.9712
10,0.04891132779155316,0.05388230745325452,0.9821
11,0.04474631738640479,0.04820286817646624,0.9851
12,0.0407908853593477,0.04763629491810589,0.9844
13,0.0377736032518721,0.05206804078467714,0.9833
14,0.03465910459722656,0.04404348581386092,0.9854
15,0.03223917467868639,0.04849615272477115,0.9839
16,0.03016266481454935,0.04354583930621253,0.9858
17,0.028016082251347406,0.053124896419402524,0.9826
18,0.026325212662239302,0.03653763479638992,0.9881
19,0.02434861493503689,0.045639949370107756,0.986
20,0.02250154948046705,0.04753731782165331,0.9851
21,0.02115026501826257,0.040423721088347034,0.9877
22,0.019906311165983244,0.03773116257309467,0.9878
23,0.018100877094296874,0.037800079102696615,0.9888
24,0.017036637358797114,0.03914476763197767,0.9882
25,0.01599134934217749,0.04061502336591996,0.9875
26,0.01559922582891731,0.03583394779869508,0.9895
27,0.014500233035575329,0.04054312193347058,0.9879
28,0.013235599558816221,0.04008194750587594,0.9876
29,0.012379479578022025,0.03985814369894264,0.9872
30,0.011697976700242061,0.03794886054978992,0.9888
31,0.010948714054098588,0.03851511451619004,0.9882
32,0.009931863626508454,0.0385513365767904,0.99
33,0.009322688215753999,0.03803925189344702,0.9883
34,0.008809562037353712,0.03968420877491252,0.9897
35,0.008284341356902161,0.038663691166090475,0.9892
36,0.007716871253256974,0.10625075239005029,0.9758
37,0.007381325662186537,0.03630881037759733,0.9896
38,0.006362709639994944,0.04034893090880406,0.989
39,0.006080037229749035,0.0391232530511588,0.9893
40,0.005504694159420308,0.04028936085832078,0.9888
41,0.005259301428779667,0.04108033960751947,0.9887
42,0.004548649065936397,0.03803130299991153,0.9901
43,0.004862337871104704,0.04171062689556891,0.9894
44,0.004703362689037146,0.040254879526506054,0.9896
45,0.004181845156670258,0.040908122269377796,0.9893
46,0.00407696170681998,0.0402194825903586,0.99
47,0.003327817945807795,0.042175042663650096,0.9893
48,0.0029297081020931166,0.042177923319148186,0.9897
49,0.002643355203693595,0.04180442869800441,0.9895
50,0.002851045479953111,0.04160815163775198,0.9905
