round,average weight differences,train losses,test losses,test accuracies
1,0.06646249858006423,2.2951342377662654,2.2860807279112993,0.1514
2,0.07420486002080096,2.2650118837356574,2.2377915974635227,0.2342
3,0.05713042609586598,2.111080938339234,1.8380196132477682,0.5245
4,0.040706613858419206,1.2021135719120504,0.669625755138458,0.8135
5,0.03897471338914786,0.5574888731241227,0.44857490613202383,0.8636
6,0.06535151885033902,0.42302243515849114,0.35546886228072416,0.8914
7,0.05180557979010986,0.33385041206330063,0.3100915236552809,0.904
8,0.03898462482993671,0.29601016258448365,0.27524649748092245,0.9158
9,0.050542363362480594,0.25531327933818104,0.24147102600971984,0.9257
10,0.044476639531764534,0.223840355694294,0.22399952756181643,0.9301
11,0.05453089749490394,0.21458730555698274,0.20648325410238497,0.9311
12,0.13039725439415709,0.17148536119982602,0.18982790319462586,0.9394
13,0.06310982633310744,0.1652289389874786,0.1731827067401094,0.9451
14,0.049791108375202106,0.1376133396588266,0.1666216033445612,0.9465
15,0.0614995796464069,0.12176564461179078,0.15749831521842084,0.9486
16,0.056536709382393746,0.12058669179398566,0.14997433805482308,0.9512
17,0.06532958662889488,0.11359458067268133,0.14027976582218318,0.9541
18,0.04052030202506406,0.10021603617211805,0.13600494749221215,0.9569
19,0.0810214744846153,0.10319306167308243,0.13106475356865413,0.9594
20,0.05713658380175429,0.0954371243948117,0.12668536662177485,0.9594
21,0.039297953005584293,0.09359078197041526,0.1190307809293543,0.9622
22,0.04036308073317973,0.08855036818026565,0.11746279471390732,0.9631
23,0.04350155256494262,0.08499042876064777,0.12006821195672082,0.9616
24,0.0500080221714315,0.08343801074638033,0.11180647342854363,0.9636
25,0.03573025904515427,0.07571586595661939,0.10677736162899097,0.966
26,0.051643381380416443,0.06387520607723854,0.10553663217642043,0.9655
27,0.03352393594208277,0.07126618149201386,0.10467946038404954,0.9657
28,0.05108322058853002,0.06244937253114767,0.10047675048373343,0.9675
29,0.032130265040297555,0.05619824593735393,0.09992848874839426,0.9683
30,0.04011671916152926,0.06574099474248943,0.09975210652215062,0.9682
31,0.043965866497923944,0.05343967039801647,0.09712332003463689,0.9683
32,0.07025062541461025,0.06115231314767152,0.09856993836502005,0.9686
33,0.04501440322428184,0.04679474968416616,0.09129987727697927,0.9705
34,0.031797545721635276,0.04600463089614641,0.09387544592027552,0.9705
35,0.03738855635713122,0.053821410364704204,0.09015726127419295,0.971
36,0.028882758755947886,0.04226264684833586,0.09038932981625034,0.9717
37,0.03875309192760131,0.05091833335650153,0.09052228259836964,0.9715
38,0.0417162758525072,0.04041523721028352,0.089663396665647,0.9716
39,0.040424473025503574,0.040166589188273066,0.08685703691544462,0.9719
40,0.0426174777169281,0.05258281612652353,0.08427552293295006,0.9737
41,0.06438290106979813,0.039555351228744255,0.08670430717719897,0.9727
42,0.05761400746181131,0.03546272844658233,0.0844868758497211,0.9735
43,0.034544750405178265,0.043425135418830904,0.08405465711516945,0.9732
44,0.027528923592980137,0.04729687736870255,0.0792981027113867,0.975
45,0.02572961328423856,0.037014274879533335,0.07845124290999511,0.9757
46,0.04056939667773181,0.03574269833759172,0.07877586269862416,0.9751
47,0.03828034776372202,0.03184544462861959,0.07796998074803588,0.9756
48,0.0281294381436989,0.039798990069248245,0.07733669247973939,0.9753
49,0.3773435079116147,0.04015572962420992,0.07421113534841263,0.976
50,0.03061529898390779,0.03449601830251049,0.07401321755809662,0.9756
