round,average weight differences,train losses,test losses,test accuracies
1,0,0.5372021283861248,1.976293950323846,0.4582
2,0,0.29675617392221465,1.4761019565497235,0.4444
3,0,0.3015959109014511,4.350097349494885,0.4677
4,0,0.19175359349790236,3.0178785065936435,0.4708
5,0,0.13162986020995596,3.703709054145084,0.4712
6,0,0.10784548703453493,1.3746249740290795,0.6001
7,0,0.06982441365862906,0.3037723485546507,0.8964
8,0,0.07707698931340203,0.2117148513318437,0.929
9,0,0.054485848449521646,0.484151991736737,0.8421
10,0,0.05353859583033045,0.5388792340353037,0.8344
11,0,0.054465952194265796,1.3661245305067415,0.6432
12,0,0.050786319244890146,0.5036939159984801,0.863
13,0,0.04255341027215343,0.3430160798464611,0.9039
14,0,0.047507624649586994,0.675214925389381,0.8007
15,0,0.03037108751153369,0.24982661561696393,0.9056
16,0,0.03017436593928094,0.14575201883366343,0.955
17,0,0.0360721251796076,0.34756629266271927,0.8743
18,0,0.028869362776861064,0.22747928371569912,0.9241
19,0,0.03674636920285664,0.12754926174785644,0.9609
20,0,0.0386724027667027,0.16572891497854025,0.9504
21,0,0.030619819928285608,0.22314030128370993,0.93
22,0,0.03769765385005752,0.26830143399631523,0.9219
23,0,0.03362350596603897,0.39562503041426655,0.8992
24,0,0.041912053276703685,0.2671999183355884,0.9337
25,0,0.024850435337934816,0.12216923665385071,0.9651
26,0,0.03670782461726723,0.10858238004125761,0.9683
27,0,0.06071793696852046,0.1664046170597801,0.9536
28,0,0.03212137632600682,0.2319339666972352,0.9326
29,0,0.05120985414568511,0.16669312862957053,0.9566
30,0,0.040827859023667944,0.30828560020027174,0.9267
31,0,0.0648023237181703,0.11828667937668937,0.9691
32,0,0.056832281537963936,0.1458996156805972,0.96
33,0,0.07240436033477862,0.12121688119902507,0.9666
34,0,0.04346677026968309,0.14498441346593285,0.9617
35,0,0.0351494012482969,0.1235279395325839,0.9662
36,0,0.028666429838827907,0.1481803597474195,0.9591
37,0,0.04702322196406079,0.30420264872799446,0.9176
38,0,0.03699286448100628,0.4779373895032865,0.8893
39,0,0.04931983636497443,0.3267904302597663,0.9223
40,0,0.06775963109930971,0.6171947359137094,0.8641
41,0,0.08663257920251749,0.21108379646948322,0.9548
42,0,0.05606560874561332,0.14628413313549127,0.9666
43,0,0.04895072234095286,0.14073375680024705,0.9668
44,0,0.04108354991301201,0.12800619756090337,0.966
45,0,0.03306254163560544,0.40407019446657344,0.8928
46,0,0.05848499135827086,0.2568956088455643,0.9364
47,0,0.06883814141771026,0.30555369436205515,0.9318
48,0,0.04524466159488007,0.13478729280084817,0.9648
49,0,0.12366693800022097,0.2225636406126877,0.9476
50,0,0.09334031124592725,0.22325018362255594,0.9495
