round,average weight differences,train losses,test losses,test accuracies
1,0,0.6230076429098844,0.9257607482800818,0.7107
2,0,0.3559611614011228,0.7137654698958062,0.7493
3,0,0.2894272020384669,1.7579932926566737,0.5039
4,0,0.2141315795481205,0.8376573531111334,0.6993
5,0,0.17177871441468592,0.8559690846759043,0.6928
6,0,0.14936248202249408,0.40186486685067224,0.8725
7,0,0.13440774520859122,0.40369817505406724,0.861
8,0,0.11088658387493341,0.3892150042448074,0.8607
9,0,0.12696176386531438,0.3735213947429019,0.8674
10,0,0.10791290135588497,0.36449349916000273,0.8728
11,0,0.10153439600300043,0.509270581897277,0.822
12,0,0.1000087181245908,0.27724511742259667,0.9083
13,0,0.08583848063042387,0.2620887484425192,0.9154
14,0,0.08166736619453877,0.3137108774108302,0.8925
15,0,0.06866705950978212,0.4716244039546912,0.8245
16,0,0.0755009131003171,0.2387442991469696,0.9216
17,0,0.06152235264214687,0.42189778102810976,0.84
18,0,0.06436458028410563,0.25435064925224915,0.9136
19,0,0.06665862813522108,0.25983484838584997,0.9097
20,0,0.060397275068564335,0.26363495088354416,0.9073
21,0,0.057027925459900874,0.23946866085812166,0.92
22,0,0.04914874565461651,0.25097356787675124,0.9156
23,0,0.07809328304138036,0.5756825824167319,0.8075
24,0,0.060385538407019344,0.21173513408714703,0.9291
25,0,0.04394039166427684,0.2322268593273345,0.9197
26,0,0.04898359866952523,0.18388142381871866,0.938
27,0,0.04326130123622716,0.23897305894998988,0.9198
28,0,0.04377913830196485,0.22124605926619784,0.9261
29,0,0.04659633197705262,0.3374540500319118,0.8838
30,0,0.044648251968203115,0.28575993056414994,0.9
31,0,0.04348958288156428,0.21333506355168902,0.9278
32,0,0.03612510251975618,0.2023069013954158,0.9291
33,0,0.04433994247380178,0.16464139558196922,0.9446
34,0,0.04203032143812744,0.18252953692119878,0.9383
35,0,0.031414793227188056,0.15691281496517503,0.9475
36,0,0.03388120126305148,0.19294078253019767,0.9365
37,0,0.033978757658449474,0.29248736149803467,0.897
38,0,0.03011448830913286,0.24298520202920504,0.9199
39,0,0.027657051681599116,0.16642517860753425,0.9461
40,0,0.026573230661393617,0.27463463406748834,0.9046
41,0,0.04026623904418374,0.15865856828316335,0.9472
42,0,0.0349155242629422,0.18836522389464316,0.9361
43,0,0.029828595124039563,0.1505975133656364,0.9499
44,0,0.0228096745799412,0.1483714151727095,0.9513
45,0,0.025691991305575358,0.2999280023086033,0.8954
46,0,0.03181052627469762,0.1538355009834976,0.9488
47,0,0.03389027434039599,0.4778633117675781,0.8488
48,0,0.032533952866448085,0.2764470124510443,0.9029
49,0,0.02482780372325214,0.16771971582951153,0.9445
50,0,0.026213768829125912,0.16341427044948906,0.9468
