round,average weight differences,train losses,test losses,test accuracies
1,0,2.3043659889698027,2.3039796352386475,0.0854
2,0,2.3042028589248655,2.3038201332092285,0.0854
3,0,2.304040246009827,2.303654670715332,0.0855
4,0,2.3038781232833863,2.3034865856170654,0.0854
5,0,2.303716412305832,2.3033242225646973,0.0852
6,0,2.303555083036423,2.3031649589538574,0.0848
7,0,2.3033941876888275,2.3029985427856445,0.0847
8,0,2.3032335901260375,2.3028368949890137,0.0843
9,0,2.3030733897686004,2.302676200866699,0.0842
10,0,2.3029135239124296,2.3025104999542236,0.0841
11,0,2.3027539718151093,2.302351474761963,0.0839
12,0,2.3025946373939514,2.30218768119812,0.0837
13,0,2.3024354486465453,2.3020265102386475,0.0833
14,0,2.302276567697525,2.301866054534912,0.0832
15,0,2.302117972373962,2.301710844039917,0.083
16,0,2.3019595577716827,2.30155086517334,0.0829
17,0,2.3018016757965087,2.301388740539551,0.0829
18,0,2.301645498275757,2.3012328147888184,0.0827
19,0,2.3014897441864015,2.301074504852295,0.0824
20,0,2.3013342559337615,2.3009204864501953,0.0821
21,0,2.3011790158748626,2.3007588386535645,0.0823
22,0,2.3010238983631135,2.3005998134613037,0.082
23,0,2.3008688855171204,2.3004403114318848,0.0813
24,0,2.3007139484882355,2.3002848625183105,0.0813
25,0,2.3005590481758116,2.300130605697632,0.0817
26,0,2.3004041044712067,2.299980640411377,0.0813
27,0,2.300249111413956,2.299821138381958,0.0817
28,0,2.300093985080719,2.2996602058410645,0.0819
29,0,2.299938706636429,2.2995026111602783,0.0822
30,0,2.299783290863037,2.2993462085723877,0.0827
31,0,2.299627738237381,2.299177646636963,0.0825
32,0,2.2994719636440277,2.2990243434906006,0.084
33,0,2.299315895318985,2.2988693714141846,0.0856
34,0,2.299159600734711,2.298710823059082,0.0866
35,0,2.2990029389858244,2.298552989959717,0.0892
36,0,2.298845996141434,2.2983880043029785,0.0934
37,0,2.298688794374466,2.2982280254364014,0.0979
38,0,2.298531278371811,2.2980690002441406,0.1019
39,0,2.298373445034027,2.2979137897491455,0.1071
40,0,2.2982153658866884,2.297750949859619,0.114
41,0,2.2980568940639494,2.2975857257843018,0.1195
42,0,2.2978979890346527,2.297417640686035,0.1263
43,0,2.2977385420799257,2.2972609996795654,0.1297
44,0,2.297578586578369,2.2970998287200928,0.1344
45,0,2.297418135166168,2.2969415187835693,0.1385
46,0,2.297257109642029,2.2967710494995117,0.1415
47,0,2.2970955817699434,2.2966055870056152,0.143
48,0,2.2969334049224854,2.2964491844177246,0.1443
49,0,2.2967706265449523,2.296281576156616,0.1461
50,0,2.296607110500336,2.296109914779663,0.146
