round,average weight differences,train losses,test losses,test accuracies
1,0,2.3049360971450805,2.3039779663085938,0.0856
2,0,2.3047725400924683,2.3038241863250732,0.0856
3,0,2.304609528541565,2.3036575317382812,0.0856
4,0,2.304447037935257,2.303494453430176,0.0857
5,0,2.3042849757671355,2.3033323287963867,0.0857
6,0,2.304123371362686,2.303168296813965,0.0857
7,0,2.3039622144699097,2.3030083179473877,0.0857
8,0,2.303801376581192,2.302846670150757,0.0856
9,0,2.3036409907341002,2.302680015563965,0.0855
10,0,2.3034809677600863,2.302525281906128,0.0853
11,0,2.3033212659358977,2.3023629188537598,0.0854
12,0,2.303161852359772,2.3021981716156006,0.0853
13,0,2.3030026910305024,2.3020479679107666,0.0853
14,0,2.302843815803528,2.3018898963928223,0.085
15,0,2.302685225725174,2.3017256259918213,0.0847
16,0,2.3025269358158114,2.3015618324279785,0.0846
17,0,2.302368904590607,2.3014116287231445,0.0846
18,0,2.3022118740081785,2.301253318786621,0.0843
19,0,2.302056124210358,2.3010971546173096,0.0841
20,0,2.3019008109569548,2.3009390830993652,0.0841
21,0,2.301745714187622,2.3007779121398926,0.0841
22,0,2.301590820550919,2.3006324768066406,0.0837
23,0,2.3014361028671266,2.3004744052886963,0.0838
24,0,2.3012813980579376,2.3003084659576416,0.084
25,0,2.301126728773117,2.3001508712768555,0.0841
26,0,2.300972140789032,2.299999713897705,0.0838
27,0,2.300817515850067,2.2998499870300293,0.0842
28,0,2.3006629061698916,2.2996938228607178,0.0845
29,0,2.3005081434249877,2.299532651901245,0.084
30,0,2.300353286266327,2.2993719577789307,0.0853
31,0,2.3001982712745668,2.2992196083068848,0.0847
32,0,2.300043032169342,2.2990565299987793,0.0851
33,0,2.2998876259326937,2.29891037940979,0.0859
34,0,2.299731934070587,2.298755645751953,0.0867
35,0,2.299575885772705,2.2985923290252686,0.0873
36,0,2.2994195749759676,2.298433542251587,0.089
37,0,2.299262919664383,2.2982776165008545,0.0904
38,0,2.299105909347534,2.298121452331543,0.0904
39,0,2.2989486355781557,2.2979605197906494,0.093
40,0,2.2987909982204435,2.2977960109710693,0.0958
41,0,2.2986330752372743,2.2976362705230713,0.1003
42,0,2.298474833250046,2.2974746227264404,0.104
43,0,2.2983161246776582,2.297314405441284,0.1086
44,0,2.2981569592952726,2.2971510887145996,0.1145
45,0,2.297997353076935,2.2969911098480225,0.1207
46,0,2.297837304830551,2.2968339920043945,0.1269
47,0,2.2976766645908357,2.2966699600219727,0.1333
48,0,2.297515369415283,2.2965071201324463,0.1365
49,0,2.2973534455299376,2.2963433265686035,0.1395
50,0,2.297190810918808,2.296175718307495,0.1419
